ID da viagem,Data,Hora,Linha de ônibus,Número de passageiros,Tipo de veículo,Localização de partida,Localização de chegada,Tempo de viagem,Custo da viagem
250,2023-11-25,04:00,Linha 101,23,Micro-ônibus,Zona Sul,Zona Norte,61,8.55
251,2023-01-24,15:43,Linha 404,69,Articulado,Zona Sul,Zona Leste,39,7.95
252,2023-10-02,21:18,Linha 505,135,Articulado,Zona Oeste,Zona Sul,88,9.8
253,2023-03-31,08:51,Linha 202,102,Articulado,Zona Norte,Centro,58,7.6
254,2023-10-20,03:50,Linha 202,18,Elétrico,Zona Norte,Centro,31,5.55
255,2023-11-29,18:28,Linha 505,72,Ônibus convencional,Centro,Zona Oeste,83,9.15
256,2023-04-09,17:35,Linha 101,116,Ônibus convencional,Centro,Zona Sul,58,7.4
257,2023-06-03,03:18,Linha 505,29,Micro-ônibus,Centro,Zona Oeste,34,6.7
258,2023-05-07,06:02,Linha 202,32,Ônibus convencional,Centro,Zona Leste,74,8.4
259,2023-04-10,21:58,Linha 505,46,Elétrico,Centro,Zona Oeste,87,9.35
260,2023-10-23,15:23,Linha 505,49,Elétrico,Centro,Zona Oeste,16,5.8
261,2023-03-14,09:00,Linha 303,28,Micro-ônibus,Zona Oeste,Centro,23,6.15
262,2023-07-27,19:17,Linha 101,26,Micro-ônibus,Zona Sul,Zona Norte,54,8.2
263,2023-08-27,23:22,Linha 404,88,Articulado,Zona Leste,Centro,59,8.45
264,2023-02-16,03:45,Linha 404,18,Elétrico,Zona Sul,Zona Leste,65,9.25
265,2023-10-21,20:44,Linha 101,71,Articulado,Centro,Zona Sul,20,5.5
266,2023-11-29,05:42,Linha 202,41,Ônibus convencional,Centro,Zona Leste,24,5.9
267,2023-12-10,11:13,Linha 202,50,Ônibus convencional,Centro,Zona Leste,52,7.3
268,2023-08-14,01:58,Linha 404,76,Articulado,Zona Leste,Centro,75,9.15
269,2023-07-20,17:04,Linha 202,98,Ônibus convencional,Centro,Zona Leste,79,8.65
270,2023-12-29,03:20,Linha 505,45,Ônibus convencional,Centro,Zona Oeste,36,6.8
271,2023-03-05,20:41,Linha 505,44,Ônibus convencional,Centro,Zona Oeste,15,5.75
272,2023-10-11,03:25,Linha 202,25,Elétrico,Zona Norte,Centro,73,8.55
273,2023-08-09,23:27,Linha 101,70,Ônibus convencional,Zona Sul,Zona Norte,30,7.0
274,2023-06-13,23:37,Linha 101,70,Articulado,Centro,Zona Sul,68,7.9
275,2023-01-29,02:06,Linha 303,37,Elétrico,Zona Norte,Zona Oeste,82,9.8
276,2023-01-27,22:34,Linha 303,34,Elétrico,Zona Norte,Zona Oeste,83,9.85
277,2023-11-19,22:07,Linha 505,122,Articulado,Centro,Zona Oeste,17,5.85
278,2023-06-10,23:36,Linha 404,127,Articulado,Zona Leste,Centro,62,8.6
279,2023-11-05,14:10,Linha 505,130,Articulado,Zona Oeste,Zona Sul,64,7.5
280,2023-10-10,08:49,Linha 101,58,Micro-ônibus,Zona Sul,Zona Norte,17,6.35
281,2023-06-12,13:15,Linha 303,148,Articulado,Zona Norte,Zona Oeste,86,10.0
282,2023-09-07,01:45,Linha 101,71,Articulado,Zona Sul,Zona Norte,77,9.35
283,2023-11-07,04:11,Linha 101,11,Micro-ônibus,Centro,Zona Sul,53,7.15
284,2023-05-08,00:59,Linha 505,64,Articulado,Zona Oeste,Zona Sul,11,6.35
285,2023-06-02,03:35,Linha 101,33,Ônibus convencional,Zona Sul,Zona Norte,84,9.7
286,2023-05-28,15:13,Linha 404,38,Ônibus convencional,Zona Leste,Centro,52,6.6
287,2023-06-28,00:33,Linha 404,125,Articulado,Zona Leste,Centro,63,8.05
288,2023-06-07,10:11,Linha 101,15,Micro-ônibus,Centro,Zona Sul,11,5.05
289,2023-11-25,19:15,Linha 101,69,Ônibus convencional,Zona Sul,Zona Norte,65,8.75
290,2023-03-13,22:28,Linha 404,67,Ônibus convencional,Zona Leste,Centro,11,4.95
291,2023-08-29,17:55,Linha 505,50,Micro-ônibus,Centro,Zona Oeste,63,8.15
292,2023-08-20,22:58,Linha 101,8,Micro-ônibus,Centro,Zona Sul,54,7.2
293,2023-01-21,19:26,Linha 303,48,Elétrico,Zona Norte,Zona Oeste,41,7.75
294,2023-04-30,06:42,Linha 202,16,Micro-ônibus,Centro,Zona Leste,12,5.3
295,2023-06-07,05:39,Linha 101,10,Micro-ônibus,Zona Sul,Zona Norte,47,7.85
296,2023-06-26,16:40,Linha 303,16,Micro-ônibus,Zona Oeste,Centro,72,9.1
297,2023-07-19,11:33,Linha 101,28,Elétrico,Zona Sul,Zona Norte,88,9.9
298,2023-03-05,16:11,Linha 101,59,Ônibus convencional,Centro,Zona Sul,68,7.9
299,2023-11-01,12:50,Linha 404,29,Micro-ônibus,Zona Leste,Centro,41,7.25
300,2023-07-29,11:54,Linha 404,124,Articulado,Zona Sul,Zona Leste,34,7.7
301,2023-11-19,16:20,Linha 404,17,Elétrico,Zona Sul,Zona Leste,55,8.75
302,2023-04-25,23:46,Linha 404,30,Ônibus convencional,Zona Sul,Zona Leste,54,8.7
303,2023-01-10,18:01,Linha 101,56,Elétrico,Centro,Zona Sul,74,8.2
304,2023-05-09,21:48,Linha 404,16,Micro-ônibus,Zona Leste,Centro,27,6.85
305,2023-08-17,08:25,Linha 505,44,Micro-ônibus,Centro,Zona Oeste,74,8.7
306,2023-04-07,05:03,Linha 101,43,Ônibus convencional,Centro,Zona Sul,53,7.15
307,2023-11-01,03:42,Linha 404,19,Elétrico,Zona Sul,Zona Leste,78,9.9
308,2023-01-16,01:13,Linha 303,61,Articulado,Zona Oeste,Centro,50,8.4
309,2023-04-10,23:32,Linha 404,30,Micro-ônibus,Zona Sul,Zona Leste,59,8.95
310,2023-08-20,00:04,Linha 505,30,Ônibus convencional,Centro,Zona Oeste,43,7.15
311,2023-06-05,22:12,Linha 505,8,Micro-ônibus,Centro,Zona Oeste,16,5.8
312,2023-01-03,23:57,Linha 505,126,Articulado,Centro,Zona Oeste,51,7.55
313,2023-08-22,09:00,Linha 505,284,Articulado,Centro,Zona Oeste,67,8.35
314,2023-01-11,12:12,Linha 101,6,Micro-ônibus,Zona Sul,Zona Norte,43,7.65
315,2023-04-05,23:10,Linha 303,8,Micro-ônibus,Zona Norte,Zona Oeste,50,8.2
316,2023-10-24,01:08,Linha 202,24,Elétrico,Centro,Zona Leste,14,5.4
317,2023-02-07,04:30,Linha 404,7,Micro-ônibus,Zona Sul,Zona Leste,36,7.8
318,2023-03-28,16:32,Linha 404,43,Ônibus convencional,Zona Sul,Zona Leste,40,8.0
319,2023-02-07,14:56,Linha 202,32,Elétrico,Centro,Zona Leste,40,6.7
320,2023-09-12,19:43,Linha 505,16,Elétrico,Zona Oeste,Zona Sul,87,8.45
321,2023-01-08,20:39,Linha 505,22,Elétrico,Centro,Zona Oeste,14,5.7
322,2023-06-14,00:29,Linha 303,67,Articulado,Zona Norte,Zona Oeste,90,10.2
323,2023-02-10,03:39,Linha 505,16,Micro-ônibus,Centro,Zona Oeste,77,8.85
324,2023-07-29,20:48,Linha 101,24,Elétrico,Zona Sul,Zona Norte,72,9.1
325,2023-09-25,00:39,Linha 101,18,Micro-ônibus,Zona Sul,Zona Norte,79,9.45
326,2023-06-08,14:03,Linha 101,21,Elétrico,Centro,Zona Sul,87,8.85
327,2023-09-18,06:18,Linha 505,50,Elétrico,Centro,Zona Oeste,47,7.35
328,2023-02-13,10:57,Linha 101,15,Elétrico,Centro,Zona Sul,61,7.55
329,2023-05-10,10:44,Linha 303,21,Micro-ônibus,Zona Oeste,Centro,89,10.95
330,2023-11-06,16:25,Linha 505,112,Articulado,Centro,Zona Oeste,37,6.85
331,2023-10-22,04:30,Linha 202,32,Elétrico,Zona Norte,Centro,79,9.55
332,2023-06-01,12:03,Linha 505,12,Micro-ônibus,Zona Oeste,Zona Sul,62,7.9
333,2023-02-28,10:31,Linha 404,47,Elétrico,Zona Leste,Centro,35,7.65
334,2023-01-15,01:30,Linha 202,59,Ônibus convencional,Zona Norte,Centro,29,6.05
335,2023-09-28,10:54,Linha 202,33,Elétrico,Centro,Zona Leste,37,6.55
336,2023-06-28,06:04,Linha 101,40,Ônibus convencional,Centro,Zona Sul,15,5.25
337,2023-04-12,02:14,Linha 404,22,Ônibus convencional,Zona Sul,Zona Leste,25,7.25
338,2023-11-24,05:18,Linha 202,33,Elétrico,Zona Norte,Centro,55,8.75
339,2023-08-17,03:35,Linha 303,23,Ônibus convencional,Zona Norte,Zona Oeste,27,7.05
340,2023-02-13,08:55,Linha 303,236,Articulado,Zona Norte,Zona Oeste,76,9.5
341,2023-03-16,14:51,Linha 505,43,Elétrico,Centro,Zona Oeste,38,6.9
342,2023-06-01,05:31,Linha 202,74,Articulado,Zona Norte,Centro,18,7.3
343,2023-06-28,22:56,Linha 202,37,Ônibus convencional,Zona Norte,Centro,62,8.1
344,2023-05-13,02:54,Linha 202,147,Articulado,Zona Norte,Centro,13,5.85
345,2023-09-10,02:29,Linha 303,126,Articulado,Zona Norte,Zona Oeste,15,6.45
346,2023-04-25,01:44,Linha 404,25,Elétrico,Zona Sul,Zona Leste,20,7.0
347,2023-02-03,07:54,Linha 101,20,Micro-ônibus,Zona Sul,Zona Norte,79,9.45
348,2023-12-16,15:39,Linha 303,127,Articulado,Zona Norte,Zona Oeste,51,8.25
349,2023-07-27,06:49,Linha 101,127,Articulado,Centro,Zona Sul,30,6.0
350,2023-10-18,07:25,Linha 404,100,Elétrico,Zona Sul,Zona Leste,61,9.05
351,2023-05-11,05:19,Linha 505,18,Micro-ônibus,Zona Oeste,Zona Sul,87,8.95
352,2023-08-13,12:00,Linha 101,32,Elétrico,Centro,Zona Sul,60,7.5
353,2023-02-24,16:10,Linha 101,15,Elétrico,Centro,Zona Sul,90,9.0
354,2023-08-20,11:28,Linha 404,20,Elétrico,Zona Leste,Centro,85,9.35
355,2023-04-07,13:50,Linha 303,54,Ônibus convencional,Zona Norte,Zona Oeste,54,8.4
356,2023-08-04,15:49,Linha 101,127,Articulado,Zona Sul,Zona Norte,67,8.85
357,2023-01-17,01:08,Linha 404,15,Elétrico,Zona Leste,Centro,54,8.5
358,2023-07-14,07:01,Linha 303,48,Micro-ônibus,Zona Oeste,Centro,18,7.0
359,2023-05-04,03:51,Linha 202,39,Ônibus convencional,Centro,Zona Leste,84,8.9
360,2023-04-28,04:46,Linha 404,53,Articulado,Zona Leste,Centro,31,6.95
361,2023-09-14,13:14,Linha 505,61,Ônibus convencional,Centro,Zona Oeste,53,7.65
362,2023-04-04,03:58,Linha 505,50,Articulado,Centro,Zona Oeste,57,7.85
363,2023-01-24,10:20,Linha 404,17,Micro-ônibus,Zona Leste,Centro,14,6.4
364,2023-09-10,08:14,Linha 101,52,Elétrico,Zona Sul,Zona Norte,52,8.1
365,2023-01-14,18:37,Linha 303,10,Micro-ônibus,Zona Oeste,Centro,87,10.35
366,2023-02-24,03:03,Linha 202,129,Articulado,Centro,Zona Leste,85,8.95
367,2023-01-29,21:03,Linha 202,46,Elétrico,Zona Norte,Centro,44,6.2
368,2023-09-22,13:00,Linha 505,16,Elétrico,Zona Oeste,Zona Sul,58,8.4
369,2023-09-20,07:23,Linha 303,178,Articulado,Zona Oeste,Centro,15,5.75
370,2023-09-29,22:47,Linha 202,16,Micro-ônibus,Zona Norte,Centro,25,6.45
371,2023-03-22,04:13,Linha 202,125,Articulado,Centro,Zona Leste,65,7.95
372,2023-10-18,06:08,Linha 202,83,Articulado,Zona Norte,Centro,79,10.45
373,2023-07-01,09:35,Linha 303,92,Articulado,Zona Norte,Zona Oeste,29,7.15
374,2023-09-16,21:13,Linha 404,43,Ônibus convencional,Zona Sul,Zona Leste,36,7.8
375,2023-02-14,22:38,Linha 101,62,Ônibus convencional,Zona Sul,Zona Norte,61,8.55
376,2023-04-28,16:35,Linha 101,13,Micro-ônibus,Zona Sul,Zona Norte,38,7.4
377,2023-10-05,07:12,Linha 202,140,Ônibus convencional,Centro,Zona Leste,22,5.8
378,2023-08-24,17:50,Linha 303,98,Elétrico,Zona Oeste,Centro,50,8.0
379,2023-04-10,19:13,Linha 202,63,Articulado,Centro,Zona Leste,81,8.75
380,2023-05-06,09:56,Linha 303,37,Ônibus convencional,Zona Oeste,Centro,12,6.4
381,2023-11-25,13:56,Linha 101,26,Ônibus convencional,Zona Sul,Zona Norte,17,6.35
382,2023-02-16,09:18,Linha 101,105,Articulado,Zona Sul,Zona Norte,85,9.75
383,2023-06-21,05:35,Linha 505,9,Micro-ônibus,Zona Oeste,Zona Sul,74,9.9
384,2023-03-18,12:48,Linha 404,15,Micro-ônibus,Zona Sul,Zona Leste,39,7.95
385,2023-09-22,19:39,Linha 101,57,Ônibus convencional,Zona Sul,Zona Norte,59,8.45
386,2023-11-04,21:15,Linha 101,43,Ônibus convencional,Zona Sul,Zona Norte,60,8.5
387,2023-10-25,07:37,Linha 505,76,Ônibus convencional,Zona Oeste,Zona Sul,40,8.0
388,2023-09-26,09:52,Linha 101,32,Elétrico,Centro,Zona Sul,53,7.15
389,2023-02-10,21:38,Linha 505,46,Elétrico,Centro,Zona Oeste,72,8.6
390,2023-05-16,23:55,Linha 404,69,Ônibus convencional,Zona Sul,Zona Leste,75,9.75
391,2023-02-28,05:16,Linha 303,55,Articulado,Zona Oeste,Centro,52,7.6
392,2023-07-20,14:32,Linha 202,28,Micro-ônibus,Centro,Zona Leste,50,7.2
393,2023-05-29,19:16,Linha 404,110,Articulado,Zona Sul,Zona Leste,63,9.15
394,2023-10-14,10:10,Linha 101,111,Articulado,Centro,Zona Sul,30,6.0
395,2023-06-26,13:13,Linha 101,68,Articulado,Centro,Zona Sul,72,8.1
396,2023-02-01,14:46,Linha 404,95,Articulado,Zona Sul,Zona Leste,29,7.45
397,2023-07-27,01:52,Linha 505,17,Elétrico,Centro,Zona Oeste,82,9.1
398,2023-11-04,11:23,Linha 303,29,Elétrico,Zona Norte,Zona Oeste,61,8.75
399,2023-09-13,19:24,Linha 303,131,Articulado,Zona Norte,Zona Oeste,57,8.55
400,2023-08-30,11:59,Linha 404,32,Elétrico,Zona Leste,Centro,53,6.75
401,2023-02-08,22:45,Linha 505,8,Micro-ônibus,Zona Oeste,Zona Sul,86,9.5
402,2023-01-30,12:09,Linha 202,102,Articulado,Zona Norte,Centro,90,8.5
403,2023-05-22,01:35,Linha 404,66,Articulado,Zona Sul,Zona Leste,22,7.1
404,2023-05-08,14:45,Linha 404,68,Ônibus convencional,Zona Sul,Zona Leste,37,7.85
405,2023-07-28,14:56,Linha 404,15,Micro-ônibus,Zona Sul,Zona Leste,82,10.1
406,2023-05-13,01:37,Linha 202,15,Micro-ônibus,Centro,Zona Leste,27,6.05
407,2023-06-04,02:35,Linha 101,68,Articulado,Zona Sul,Zona Norte,88,9.9
408,2023-11-12,17:53,Linha 101,128,Ônibus convencional,Zona Sul,Zona Norte,34,7.2
409,2023-11-02,03:32,Linha 505,14,Micro-ônibus,Centro,Zona Oeste,71,8.55
410,2023-05-25,13:20,Linha 404,26,Micro-ônibus,Zona Sul,Zona Leste,86,10.3
411,2023-11-26,17:50,Linha 101,106,Articulado,Zona Sul,Zona Norte,37,7.35
412,2023-12-02,18:42,Linha 404,40,Micro-ônibus,Zona Leste,Centro,13,4.95
413,2023-11-30,15:22,Linha 404,45,Ônibus convencional,Zona Leste,Centro,59,7.05
414,2023-02-09,00:06,Linha 505,146,Articulado,Centro,Zona Oeste,60,8.0
415,2023-09-21,03:00,Linha 101,25,Micro-ônibus,Zona Sul,Zona Norte,76,9.3
416,2023-05-20,04:59,Linha 404,26,Elétrico,Zona Sul,Zona Leste,90,10.5
417,2023-08-09,22:17,Linha 505,64,Ônibus convencional,Centro,Zona Oeste,47,7.35
418,2023-01-30,20:43,Linha 202,41,Elétrico,Zona Norte,Centro,49,6.85
419,2023-12-21,02:30,Linha 303,45,Ônibus convencional,Zona Oeste,Centro,62,8.7
420,2023-03-28,19:59,Linha 202,39,Ônibus convencional,Centro,Zona Leste,69,8.15
421,2023-06-19,16:15,Linha 101,67,Ônibus convencional,Centro,Zona Sul,72,8.1
422,2023-02-14,16:48,Linha 202,105,Articulado,Zona Norte,Centro,65,8.55
423,2023-04-22,21:05,Linha 404,38,Ônibus convencional,Zona Leste,Centro,48,7.9
424,2023-03-30,03:46,Linha 202,142,Articulado,Centro,Zona Leste,26,6.0
425,2023-08-25,06:20,Linha 404,104,Articulado,Zona Sul,Zona Leste,22,7.1
426,2023-03-23,10:45,Linha 202,48,Elétrico,Zona Norte,Centro,21,6.05
427,2023-12-09,12:18,Linha 404,26,Elétrico,Zona Sul,Zona Leste,19,6.95
428,2023-10-17,18:11,Linha 505,34,Micro-ônibus,Centro,Zona Oeste,82,9.1
429,2023-07-04,22:04,Linha 101,45,Ônibus convencional,Zona Sul,Zona Norte,52,8.1
430,2023-02-14,19:43,Linha 101,20,Ônibus convencional,Centro,Zona Sul,25,5.75
431,2023-10-11,08:12,Linha 505,58,Elétrico,Centro,Zona Oeste,27,6.35
432,2023-01-31,06:27,Linha 101,34,Ônibus convencional,Zona Sul,Zona Norte,63,8.65
433,2023-12-02,03:26,Linha 404,15,Elétrico,Zona Sul,Zona Leste,52,8.6
434,2023-07-28,17:54,Linha 101,40,Ônibus convencional,Centro,Zona Sul,45,6.75
435,2023-03-18,01:08,Linha 404,68,Articulado,Zona Leste,Centro,32,6.7
436,2023-01-03,04:17,Linha 505,46,Ônibus convencional,Zona Oeste,Zona Sul,12,6.9
437,2023-03-26,15:35,Linha 101,23,Elétrico,Zona Sul,Zona Norte,59,8.45
438,2023-06-18,20:57,Linha 505,17,Elétrico,Zona Oeste,Zona Sul,11,6.95
439,2023-06-15,07:55,Linha 404,32,Micro-ônibus,Zona Sul,Zona Leste,27,7.35
440,2023-10-19,03:24,Linha 202,66,Ônibus convencional,Centro,Zona Leste,26,6.0
441,2023-10-04,14:20,Linha 404,16,Micro-ônibus,Zona Leste,Centro,51,9.05
442,2023-07-22,19:56,Linha 505,16,Micro-ônibus,Zona Oeste,Zona Sul,84,9.7
443,2023-11-21,20:15,Linha 202,132,Articulado,Centro,Zona Leste,23,5.85
444,2023-01-30,18:03,Linha 404,86,Ônibus convencional,Zona Leste,Centro,59,7.65
445,2023-06-22,13:18,Linha 505,134,Articulado,Centro,Zona Oeste,75,8.75
446,2023-11-22,13:29,Linha 505,7,Micro-ônibus,Centro,Zona Oeste,62,8.1
447,2023-02-22,10:45,Linha 505,51,Ônibus convencional,Centro,Zona Oeste,51,7.55
448,2023-05-06,22:32,Linha 101,18,Micro-ônibus,Zona Sul,Zona Norte,47,7.85
449,2023-10-24,17:59,Linha 202,96,Ônibus convencional,Zona Norte,Centro,40,7.6
450,2023-12-14,20:45,Linha 202,21,Micro-ônibus,Centro,Zona Leste,16,5.5
451,2023-02-27,13:09,Linha 404,17,Micro-ônibus,Zona Leste,Centro,77,8.25
452,2023-02-03,17:51,Linha 202,110,Articulado,Centro,Zona Leste,10,5.2
453,2023-01-08,14:59,Linha 303,37,Ônibus convencional,Zona Norte,Zona Oeste,57,8.55
454,2023-08-25,06:42,Linha 404,102,Articulado,Zona Leste,Centro,45,6.35
455,2023-11-14,22:47,Linha 101,116,Articulado,Zona Sul,Zona Norte,14,6.2
456,2023-06-10,18:25,Linha 505,44,Micro-ônibus,Centro,Zona Oeste,62,8.1
457,2023-09-25,09:28,Linha 505,133,Articulado,Centro,Zona Oeste,49,7.45
458,2023-10-01,19:27,Linha 404,50,Elétrico,Zona Leste,Centro,86,10.2
459,2023-05-28,15:27,Linha 202,31,Ônibus convencional,Zona Norte,Centro,26,7.8
460,2023-04-23,21:36,Linha 303,16,Elétrico,Zona Norte,Zona Oeste,55,8.45
461,2023-10-31,07:27,Linha 101,128,Ônibus convencional,Centro,Zona Sul,19,5.45
462,2023-09-10,15:57,Linha 202,17,Micro-ônibus,Zona Norte,Centro,84,10.5
463,2023-04-02,16:20,Linha 404,53,Ônibus convencional,Zona Leste,Centro,88,10.2
464,2023-10-11,05:37,Linha 202,46,Elétrico,Zona Norte,Centro,87,9.75
465,2023-07-07,04:40,Linha 505,75,Articulado,Centro,Zona Oeste,31,6.55
466,2023-08-05,07:30,Linha 101,66,Elétrico,Zona Sul,Zona Norte,16,6.3
467,2023-09-22,14:05,Linha 404,24,Ônibus convencional,Zona Leste,Centro,30,6.4
468,2023-06-04,15:41,Linha 303,128,Articulado,Zona Norte,Zona Oeste,61,8.75
469,2023-05-07,04:24,Linha 303,76,Articulado,Zona Norte,Zona Oeste,24,6.9
470,2023-07-21,15:38,Linha 505,114,Articulado,Centro,Zona Oeste,84,9.2
471,2023-07-30,23:25,Linha 101,92,Articulado,Centro,Zona Sul,33,6.15
472,2023-07-23,23:37,Linha 101,23,Micro-ônibus,Centro,Zona Sul,65,7.75
473,2023-10-04,17:35,Linha 101,160,Articulado,Zona Sul,Zona Norte,27,6.85
474,2023-02-15,18:12,Linha 101,94,Ônibus convencional,Zona Sul,Zona Norte,40,7.5
475,2023-11-01,22:36,Linha 202,26,Elétrico,Zona Norte,Centro,84,10.7
476,2023-05-20,18:13,Linha 404,26,Micro-ônibus,Zona Sul,Zona Leste,46,8.3
477,2023-12-03,19:21,Linha 202,98,Articulado,Zona Norte,Centro,19,7.25
478,2023-04-02,09:37,Linha 505,109,Articulado,Centro,Zona Oeste,64,8.2
479,2023-04-11,14:29,Linha 202,29,Elétrico,Zona Norte,Centro,17,5.85
480,2023-09-10,11:05,Linha 202,110,Articulado,Centro,Zona Leste,57,7.55
481,2023-05-28,20:45,Linha 101,29,Elétrico,Centro,Zona Sul,47,6.85
482,2023-01-01,14:36,Linha 101,9,Micro-ônibus,Centro,Zona Sul,50,7.0
483,2023-02-23,18:36,Linha 505,16,Micro-ônibus,Zona Oeste,Zona Sul,14,6.0
484,2023-06-04,23:52,Linha 202,57,Ônibus convencional,Centro,Zona Leste,34,6.4
485,2023-04-14,16:24,Linha 101,104,Articulado,Centro,Zona Sul,63,7.65
486,2023-01-03,00:06,Linha 303,16,Micro-ônibus,Zona Norte,Zona Oeste,53,8.35
487,2023-12-03,13:00,Linha 505,43,Ônibus convencional,Centro,Zona Oeste,47,7.35
488,2023-11-02,16:59,Linha 505,10,Micro-ônibus,Centro,Zona Oeste,33,6.65
489,2023-05-11,12:28,Linha 505,135,Articulado,Zona Oeste,Zona Sul,51,8.65
490,2023-05-20,12:01,Linha 101,37,Ônibus convencional,Centro,Zona Sul,67,7.85
491,2023-03-18,04:30,Linha 303,41,Ônibus convencional,Zona Oeste,Centro,85,9.95
492,2023-01-24,04:22,Linha 404,33,Ônibus convencional,Zona Leste,Centro,81,10.25
493,2023-11-22,05:35,Linha 202,35,Elétrico,Centro,Zona Leste,77,8.55
494,2023-10-24,10:41,Linha 404,67,Articulado,Zona Sul,Zona Leste,20,7.0
495,2023-11-24,02:15,Linha 202,10,Micro-ônibus,Zona Norte,Centro,23,7.05
496,2023-02-04,11:04,Linha 101,113,Articulado,Zona Sul,Zona Norte,18,6.4
497,2023-12-17,10:43,Linha 505,17,Micro-ônibus,Zona Oeste,Zona Sul,57,7.05
498,2023-08-08,07:05,Linha 505,20,Micro-ônibus,Centro,Zona Oeste,59,7.95
499,2023-05-19,21:51,Linha 202,35,Elétrico,Centro,Zona Leste,28,6.1
500,2023-07-19,16:09,Linha 101,30,Ônibus convencional,Zona Sul,Zona Norte,34,7.2
