ID da viagem,Data,Hora,Linha de ônibus,Número de passageiros,Tipo de veículo,Localização de partida,Localização de chegada,Tempo de viagem (minutos),Custo da viagem (R$)
1,2023-06-01,09:31,Linha 505,106,Elétrico,Zona Leste,Zona Oeste,47,4.44
2,2023-04-25,13:44,Linha 303,15,Micro-ônibus,Zona Sul,Zona Sul,72,4.05
3,2023-12-17,10:33,Linha 101,95,Articulado,Zona Leste,Zona Oeste,60,6.15
4,2023-09-08,07:15,Linha 303,102,Micro-ônibus,Zona Sul,Zona Leste,80,4.92
5,2023-12-12,17:19,Linha 101,127,Ônibus convencional,Zona Sul,Zona Norte,56,4.7
6,2023-04-10,10:19,Linha 202,98,Ônibus convencional,Zona Norte,Zona Norte,70,3.88
7,2023-02-23,13:10,Linha 101,107,Elétrico,Zona Oeste,Zona Norte,31,6.68
8,2023-05-01,12:50,Linha 101,88,Micro-ônibus,Zona Oeste,Centro,73,6.8
9,2023-12-10,17:03,Linha 101,48,Micro-ônibus,Zona Norte,Zona Oeste,73,6.28
10,2023-09-16,14:17,Linha 303,49,Ônibus convencional,Zona Leste,Zona Oeste,54,4.17
11,2023-03-16,07:05,Linha 404,87,Ônibus convencional,Zona Sul,Centro,90,7.34
12,2023-04-24,19:15,Linha 303,82,Micro-ônibus,Zona Sul,Zona Leste,79,3.63
13,2023-05-26,09:08,Linha 202,115,Articulado,Zona Leste,Zona Norte,45,4.91
14,2023-08-14,16:24,Linha 303,7,Micro-ônibus,Zona Oeste,Zona Leste,33,4.35
15,2023-12-23,08:53,Linha 404,79,Micro-ônibus,Zona Norte,Zona Leste,51,3.8
16,2023-03-29,14:29,Linha 202,82,Articulado,Zona Sul,Zona Leste,19,5.06
17,2023-04-22,18:27,Linha 303,12,Articulado,Zona Sul,Centro,47,4.67
18,2023-09-26,08:00,Linha 101,93,Micro-ônibus,Zona Sul,Zona Norte,75,4.87
19,2023-01-30,13:29,Linha 404,119,Elétrico,Centro,Zona Norte,32,6.71
20,2023-08-02,18:11,Linha 101,63,Elétrico,Zona Oeste,Zona Leste,18,7.29
21,2023-02-04,14:36,Linha 505,29,Micro-ônibus,Zona Norte,Centro,87,5.55
22,2023-07-07,18:02,Linha 505,139,Micro-ônibus,Centro,Zona Norte,25,5.62
23,2023-08-31,19:25,Linha 101,85,Ônibus convencional,Zona Oeste,Zona Sul,88,4.48
24,2023-03-20,21:28,Linha 202,73,Elétrico,Zona Sul,Zona Oeste,59,4.59
25,2023-06-24,16:29,Linha 505,23,Elétrico,Zona Sul,Centro,78,5.36
26,2023-03-16,16:37,Linha 404,87,Elétrico,Zona Leste,Zona Leste,58,5.4
27,2023-03-07,20:30,Linha 101,111,Elétrico,Zona Oeste,Zona Sul,67,7.32
28,2023-08-10,15:17,Linha 101,138,Micro-ônibus,Zona Oeste,Zona Leste,78,5.1
29,2023-09-06,15:26,Linha 202,109,Elétrico,Zona Norte,Zona Norte,13,5.08
30,2023-12-24,08:05,Linha 202,51,Elétrico,Zona Norte,Zona Sul,60,5.61
31,2023-11-17,19:59,Linha 505,110,Ônibus convencional,Zona Leste,Centro,90,6.08
32,2023-06-24,17:24,Linha 202,89,Articulado,Zona Leste,Zona Leste,14,5.98
33,2023-12-26,19:52,Linha 202,34,Articulado,Zona Norte,Centro,62,5.1
34,2023-03-11,11:22,Linha 404,80,Ônibus convencional,Zona Norte,Zona Norte,60,5.73
35,2023-05-22,15:49,Linha 101,23,Articulado,Zona Leste,Zona Leste,63,5.67
36,2023-02-09,06:51,Linha 303,122,Articulado,Zona Norte,Centro,63,5.76
37,2023-11-12,18:18,Linha 202,125,Ônibus convencional,Zona Sul,Zona Sul,12,6.26
38,2023-12-19,16:33,Linha 505,67,Micro-ônibus,Zona Norte,Zona Sul,77,5.36
39,2023-12-17,21:03,Linha 404,24,Ônibus convencional,Zona Leste,Zona Leste,51,4.97
40,2023-12-07,10:31,Linha 202,95,Micro-ônibus,Zona Oeste,Zona Oeste,33,3.92
41,2023-06-11,11:44,Linha 404,109,Micro-ônibus,Zona Oeste,Zona Oeste,43,5.07
42,2023-06-05,13:35,Linha 202,64,Articulado,Centro,Zona Oeste,77,5.44
43,2023-11-04,06:39,Linha 505,141,Articulado,Zona Sul,Zona Leste,67,5.62
44,2023-06-25,09:08,Linha 404,21,Articulado,Centro,Zona Leste,87,5.51
45,2023-02-08,09:06,Linha 303,135,Articulado,Zona Norte,Zona Sul,36,5.03
46,2023-10-17,15:54,Linha 505,66,Ônibus convencional,Zona Leste,Zona Leste,34,5.53
47,2023-04-29,22:05,Linha 404,91,Elétrico,Zona Leste,Zona Sul,39,6.5
48,2023-03-09,16:12,Linha 202,68,Ônibus convencional,Zona Oeste,Zona Norte,20,6.84
49,2023-05-27,08:41,Linha 404,32,Ônibus convencional,Zona Norte,Zona Oeste,61,4.82
50,2023-02-17,14:38,Linha 202,108,Ônibus convencional,Zona Sul,Centro,35,3.79
51,2023-10-16,21:21,Linha 303,21,Ônibus convencional,Zona Leste,Zona Sul,52,6.4
52,2023-08-25,14:36,Linha 505,133,Micro-ônibus,Zona Sul,Zona Oeste,12,5.84
53,2023-11-13,07:11,Linha 303,116,Ônibus convencional,Zona Sul,Centro,17,7.32
54,2023-02-03,11:38,Linha 202,83,Elétrico,Centro,Zona Oeste,33,5.56
55,2023-04-09,19:52,Linha 202,55,Ônibus convencional,Zona Leste,Zona Sul,25,6.04
56,2023-12-18,12:02,Linha 303,105,Ônibus convencional,Zona Oeste,Zona Oeste,76,6.71
57,2023-05-30,17:45,Linha 303,30,Elétrico,Zona Leste,Zona Norte,20,5.93
58,2023-06-16,09:38,Linha 303,65,Micro-ônibus,Zona Norte,Zona Oeste,62,3.59
59,2023-12-28,16:09,Linha 101,112,Elétrico,Centro,Zona Oeste,67,6.22
60,2023-09-21,19:08,Linha 505,36,Micro-ônibus,Zona Norte,Zona Norte,28,5.07
61,2023-12-29,19:47,Linha 505,92,Elétrico,Centro,Zona Oeste,85,6.73
62,2023-05-16,19:48,Linha 101,85,Ônibus convencional,Zona Leste,Centro,43,3.92
63,2023-12-24,07:32,Linha 404,25,Elétrico,Centro,Zona Oeste,58,6.61
64,2023-03-31,12:09,Linha 505,65,Ônibus convencional,Zona Oeste,Zona Leste,90,4.89
65,2023-07-29,16:06,Linha 404,62,Elétrico,Centro,Zona Sul,55,5.8
66,2023-02-07,19:35,Linha 101,149,Micro-ônibus,Zona Sul,Zona Leste,35,4.59
67,2023-09-02,22:42,Linha 404,145,Elétrico,Zona Sul,Zona Norte,37,4.78
68,2023-08-24,13:29,Linha 202,81,Micro-ônibus,Zona Sul,Zona Oeste,66,7.19
69,2023-10-11,20:57,Linha 404,133,Articulado,Centro,Zona Sul,82,6.29
70,2023-09-25,18:50,Linha 404,21,Elétrico,Centro,Zona Sul,21,5.51
71,2023-08-30,07:49,Linha 303,41,Ônibus convencional,Centro,Zona Oeste,51,6.43
72,2023-01-13,14:25,Linha 404,45,Micro-ônibus,Zona Leste,Zona Norte,10,5.06
73,2023-10-23,14:30,Linha 202,133,Micro-ônibus,Zona Sul,Zona Norte,14,6.15
74,2023-01-16,09:45,Linha 303,41,Elétrico,Zona Leste,Zona Oeste,62,3.81
75,2023-01-13,18:13,Linha 505,105,Articulado,Zona Leste,Centro,36,5.84
76,2023-03-31,11:25,Linha 202,110,Micro-ônibus,Zona Sul,Zona Oeste,15,4.16
77,2023-09-19,15:58,Linha 101,138,Micro-ônibus,Zona Leste,Zona Sul,34,6.84
78,2023-11-16,15:57,Linha 101,36,Micro-ônibus,Zona Norte,Zona Leste,24,6.54
79,2023-08-25,15:22,Linha 202,33,Ônibus convencional,Zona Norte,Zona Oeste,21,5.0
80,2023-11-19,12:06,Linha 202,99,Elétrico,Zona Norte,Zona Norte,44,6.63
81,2023-09-17,15:11,Linha 404,9,Articulado,Zona Norte,Zona Leste,77,6.18
82,2023-07-08,09:14,Linha 404,77,Micro-ônibus,Zona Oeste,Zona Leste,33,6.83
83,2023-03-04,13:06,Linha 202,23,Ônibus convencional,Zona Norte,Zona Leste,20,7.28
84,2023-08-25,16:53,Linha 404,6,Elétrico,Centro,Zona Oeste,62,7.19
85,2023-11-18,12:45,Linha 404,48,Ônibus convencional,Zona Sul,Zona Norte,57,5.14
86,2023-03-01,12:09,Linha 101,103,Micro-ônibus,Zona Oeste,Centro,66,5.69
87,2023-06-01,17:59,Linha 404,148,Micro-ônibus,Zona Leste,Centro,20,5.03
88,2023-02-03,13:59,Linha 303,110,Articulado,Zona Sul,Zona Sul,18,7.3
89,2023-09-20,20:17,Linha 101,68,Articulado,Centro,Zona Leste,43,4.18
90,2023-06-29,08:34,Linha 404,13,Elétrico,Zona Sul,Zona Leste,76,6.01
91,2023-06-07,15:35,Linha 404,39,Ônibus convencional,Zona Leste,Zona Sul,86,3.64
92,2023-11-21,11:54,Linha 101,89,Ônibus convencional,Zona Leste,Centro,40,4.43
93,2023-04-11,11:15,Linha 202,5,Elétrico,Zona Leste,Zona Oeste,70,6.67
94,2023-07-29,21:46,Linha 202,50,Micro-ônibus,Zona Sul,Zona Sul,84,7.1
95,2023-04-13,22:55,Linha 404,100,Ônibus convencional,Zona Oeste,Zona Sul,15,6.45
96,2023-01-26,12:11,Linha 404,104,Ônibus convencional,Centro,Zona Oeste,42,5.13
97,2023-08-26,17:12,Linha 404,101,Elétrico,Zona Oeste,Zona Norte,33,4.28
98,2023-12-21,12:03,Linha 404,62,Micro-ônibus,Centro,Centro,54,3.99
99,2023-02-06,05:16,Linha 202,124,Articulado,Centro,Centro,32,4.31
100,2023-10-12,21:52,Linha 505,147,Micro-ônibus,Centro,Centro,25,5.84
101,2023-01-29,14:34,Linha 303,54,Elétrico,Zona Oeste,Zona Norte,65,7.23
102,2023-12-26,09:28,Linha 202,70,Micro-ônibus,Zona Sul,Zona Sul,33,4.15
103,2023-12-13,06:31,Linha 303,141,Articulado,Centro,Zona Leste,19,5.35
104,2023-01-12,09:27,Linha 505,42,Articulado,Zona Oeste,Centro,48,5.7
105,2023-04-05,10:35,Linha 202,138,Elétrico,Centro,Centro,90,5.5
106,2023-05-10,17:28,Linha 202,31,Elétrico,Zona Sul,Zona Oeste,16,7.01
107,2023-02-25,11:55,Linha 303,13,Elétrico,Centro,Zona Oeste,36,3.76
108,2023-04-25,14:45,Linha 101,72,Articulado,Zona Sul,Zona Leste,16,5.67
109,2023-09-10,13:13,Linha 101,8,Ônibus convencional,Zona Norte,Zona Sul,56,7.16
110,2023-07-15,08:31,Linha 404,48,Elétrico,Zona Oeste,Zona Leste,36,5.41
111,2023-08-30,07:22,Linha 101,120,Elétrico,Zona Sul,Zona Sul,26,5.67
112,2023-11-25,11:38,Linha 303,53,Micro-ônibus,Zona Sul,Centro,64,5.45
113,2023-12-30,13:01,Linha 505,128,Elétrico,Zona Oeste,Zona Norte,40,6.18
114,2023-10-17,08:06,Linha 101,132,Articulado,Centro,Zona Norte,11,6.26
115,2023-11-12,13:07,Linha 404,57,Ônibus convencional,Zona Norte,Centro,72,4.18
116,2023-12-04,09:17,Linha 404,77,Ônibus convencional,Centro,Zona Oeste,53,7.38
117,2023-02-26,12:12,Linha 505,67,Articulado,Zona Norte,Zona Oeste,73,5.69
118,2023-06-07,17:34,Linha 505,123,Elétrico,Zona Sul,Zona Sul,47,6.51
119,2023-10-04,15:09,Linha 404,74,Articulado,Zona Norte,Zona Leste,79,4.28
120,2023-12-08,11:59,Linha 303,128,Micro-ônibus,Centro,Centro,41,7.26
121,2023-05-25,16:05,Linha 303,11,Micro-ônibus,Centro,Zona Norte,86,6.14
122,2023-04-23,16:42,Linha 202,103,Elétrico,Zona Oeste,Zona Sul,33,5.35
123,2023-08-17,07:09,Linha 303,22,Elétrico,Zona Oeste,Zona Norte,14,3.81
124,2023-06-26,10:57,Linha 303,62,Micro-ônibus,Zona Norte,Centro,29,6.46
125,2023-03-10,20:48,Linha 303,73,Elétrico,Zona Norte,Zona Sul,71,4.99
126,2023-09-08,12:22,Linha 505,67,Micro-ônibus,Centro,Zona Norte,59,7.15
127,2023-12-04,08:04,Linha 303,135,Elétrico,Centro,Zona Leste,57,6.78
128,2023-11-25,15:27,Linha 303,82,Articulado,Zona Sul,Zona Oeste,39,6.53
129,2023-02-06,12:09,Linha 202,81,Ônibus convencional,Zona Sul,Zona Norte,37,6.59
130,2023-09-29,10:18,Linha 505,21,Articulado,Zona Sul,Zona Norte,38,6.33
131,2023-12-29,18:32,Linha 202,56,Ônibus convencional,Zona Norte,Zona Norte,50,4.39
132,2023-03-18,17:12,Linha 101,16,Elétrico,Centro,Zona Oeste,74,5.67
133,2023-08-12,06:05,Linha 404,139,Ônibus convencional,Zona Sul,Zona Norte,82,4.97
134,2023-08-19,20:14,Linha 202,14,Micro-ônibus,Zona Norte,Zona Oeste,57,5.34
135,2023-11-06,11:48,Linha 303,78,Micro-ônibus,Zona Leste,Centro,36,5.07
136,2023-11-11,08:52,Linha 505,84,Elétrico,Centro,Zona Leste,20,6.39
137,2023-10-24,20:45,Linha 505,115,Ônibus convencional,Zona Leste,Zona Norte,26,6.48
138,2023-12-06,07:28,Linha 505,53,Elétrico,Zona Leste,Zona Sul,66,3.63
139,2023-03-26,20:51,Linha 303,56,Ônibus convencional,Zona Leste,Zona Sul,35,5.76
140,2023-05-04,10:42,Linha 101,94,Micro-ônibus,Zona Leste,Zona Leste,63,5.49
141,2023-09-24,21:57,Linha 202,113,Micro-ônibus,Centro,Zona Norte,54,5.2
142,2023-06-20,15:58,Linha 505,99,Micro-ônibus,Zona Sul,Centro,63,5.12
143,2023-09-28,08:02,Linha 404,69,Micro-ônibus,Zona Oeste,Zona Norte,11,7.41
144,2023-08-12,22:35,Linha 202,70,Micro-ônibus,Zona Sul,Centro,17,6.33
145,2023-02-01,22:50,Linha 404,124,Ônibus convencional,Zona Leste,Centro,36,3.56
146,2023-02-16,21:17,Linha 303,19,Micro-ônibus,Zona Norte,Zona Oeste,62,5.58
147,2023-08-28,19:56,Linha 404,106,Articulado,Centro,Centro,84,3.66
148,2023-12-15,12:02,Linha 101,37,Ônibus convencional,Zona Oeste,Centro,53,6.24
149,2023-08-31,14:24,Linha 303,133,Micro-ônibus,Zona Norte,Centro,23,5.92
150,2023-02-03,11:01,Linha 202,136,Articulado,Zona Sul,Centro,76,3.6
151,2023-12-29,05:01,Linha 303,84,Elétrico,Centro,Zona Sul,19,6.2
152,2023-07-07,21:44,Linha 303,76,Articulado,Centro,Zona Sul,30,6.29
153,2023-07-25,13:25,Linha 202,70,Articulado,Zona Sul,Zona Oeste,22,6.56
154,2023-11-07,09:58,Linha 505,126,Micro-ônibus,Zona Oeste,Centro,65,7.18
155,2023-06-17,07:46,Linha 303,38,Micro-ônibus,Zona Oeste,Zona Oeste,79,3.96
156,2023-11-07,11:55,Linha 101,69,Elétrico,Zona Leste,Centro,54,5.38
157,2023-02-26,10:36,Linha 303,31,Micro-ônibus,Centro,Zona Norte,53,4.04
158,2023-04-23,22:39,Linha 505,69,Micro-ônibus,Zona Norte,Zona Leste,71,6.85
159,2023-05-04,08:28,Linha 303,40,Ônibus convencional,Zona Leste,Zona Norte,83,5.5
160,2023-08-10,21:05,Linha 303,116,Ônibus convencional,Zona Leste,Centro,55,3.71
161,2023-12-07,10:43,Linha 101,88,Micro-ônibus,Zona Leste,Zona Leste,89,5.61
162,2023-08-13,16:37,Linha 303,24,Micro-ônibus,Centro,Zona Norte,64,7.01
163,2023-07-27,08:42,Linha 505,138,Micro-ônibus,Zona Oeste,Zona Oeste,80,5.51
164,2023-08-15,15:45,Linha 303,147,Elétrico,Zona Leste,Centro,54,6.34
165,2023-08-19,16:14,Linha 202,57,Articulado,Zona Oeste,Centro,77,5.68
166,2023-03-07,15:21,Linha 505,28,Articulado,Zona Sul,Zona Leste,87,4.47
167,2023-03-17,21:08,Linha 505,7,Micro-ônibus,Zona Norte,Centro,34,4.92
168,2023-01-23,06:32,Linha 202,94,Articulado,Zona Oeste,Zona Sul,50,4.01
169,2023-01-27,08:17,Linha 404,148,Micro-ônibus,Zona Norte,Zona Sul,83,5.88
170,2023-08-15,19:49,Linha 101,41,Ônibus convencional,Zona Oeste,Zona Sul,69,4.31
171,2023-09-27,12:11,Linha 404,14,Ônibus convencional,Zona Sul,Zona Leste,84,4.15
172,2023-09-17,11:56,Linha 404,102,Elétrico,Zona Oeste,Zona Oeste,26,5.42
173,2023-09-21,09:47,Linha 505,75,Ônibus convencional,Zona Leste,Zona Sul,82,6.04
174,2023-09-19,15:17,Linha 404,5,Articulado,Zona Oeste,Zona Leste,45,3.84
175,2023-10-04,09:21,Linha 505,113,Ônibus convencional,Zona Sul,Zona Oeste,36,4.58
176,2023-04-04,16:29,Linha 101,116,Micro-ônibus,Zona Oeste,Zona Leste,54,7.25
177,2023-12-11,09:08,Linha 101,149,Micro-ônibus,Centro,Centro,37,4.72
178,2023-11-17,11:10,Linha 101,38,Micro-ônibus,Zona Norte,Zona Oeste,61,5.85
179,2023-11-02,08:23,Linha 101,134,Ônibus convencional,Zona Oeste,Zona Oeste,17,4.77
180,2023-01-25,05:38,Linha 505,102,Ônibus convencional,Centro,Zona Norte,23,4.24
181,2023-08-29,11:19,Linha 404,122,Articulado,Zona Sul,Zona Sul,24,5.74
182,2023-07-20,19:02,Linha 202,25,Elétrico,Zona Sul,Zona Oeste,57,6.23
183,2023-09-13,15:02,Linha 101,66,Elétrico,Zona Norte,Zona Sul,67,5.76
184,2023-11-16,21:06,Linha 303,68,Articulado,Zona Sul,Zona Norte,23,4.32
185,2023-03-21,15:39,Linha 101,134,Elétrico,Zona Leste,Zona Sul,11,3.73
186,2023-02-02,18:41,Linha 303,56,Articulado,Zona Sul,Zona Oeste,29,6.84
187,2023-08-01,08:48,Linha 202,61,Micro-ônibus,Zona Norte,Zona Oeste,85,5.9
188,2023-09-30,18:17,Linha 303,148,Micro-ônibus,Zona Sul,Zona Leste,34,4.58
189,2023-06-09,13:25,Linha 202,23,Articulado,Zona Norte,Zona Norte,21,4.84
190,2023-08-20,05:02,Linha 303,75,Micro-ônibus,Zona Sul,Zona Oeste,71,4.85
191,2023-11-11,11:32,Linha 505,127,Elétrico,Zona Norte,Zona Sul,35,6.97
192,2023-01-11,19:55,Linha 404,119,Micro-ônibus,Zona Oeste,Zona Oeste,64,3.52
193,2023-07-27,05:54,Linha 101,37,Elétrico,Centro,Zona Leste,85,5.1
194,2023-05-30,20:20,Linha 404,117,Micro-ônibus,Centro,Zona Sul,67,3.77
195,2023-12-23,17:28,Linha 303,29,Articulado,Zona Oeste,Zona Oeste,38,6.22
196,2023-03-09,08:53,Linha 101,121,Micro-ônibus,Centro,Zona Sul,44,6.45
197,2023-08-29,12:40,Linha 101,80,Articulado,Zona Norte,Zona Oeste,40,4.55
198,2023-06-03,14:04,Linha 505,43,Micro-ônibus,Centro,Zona Leste,85,5.46
199,2023-07-14,22:58,Linha 202,124,Micro-ônibus,Centro,Zona Leste,64,3.7
200,2023-02-21,11:01,Linha 101,78,Elétrico,Zona Leste,Centro,24,6.11
201,2023-10-24,10:28,Linha 101,36,Elétrico,Centro,Zona Norte,77,5.49
202,2023-08-01,16:09,Linha 505,25,Articulado,Zona Sul,Zona Leste,46,5.33
203,2023-08-05,15:54,Linha 101,101,Elétrico,Zona Sul,Zona Sul,82,5.36
204,2023-06-17,12:07,Linha 303,108,Elétrico,Centro,Centro,30,3.6
205,2023-11-07,09:59,Linha 202,101,Articulado,Zona Norte,Centro,55,6.92
206,2023-01-13,11:12,Linha 303,99,Articulado,Centro,Zona Sul,90,7.29
207,2023-04-25,13:28,Linha 404,52,Ônibus convencional,Zona Oeste,Zona Oeste,65,4.87
208,2023-02-17,12:12,Linha 101,86,Elétrico,Zona Leste,Zona Sul,60,7.46
209,2023-09-26,06:25,Linha 101,65,Micro-ônibus,Centro,Zona Sul,73,3.61
210,2023-04-19,10:18,Linha 303,70,Articulado,Zona Leste,Zona Norte,49,5.57
211,2023-07-21,17:02,Linha 404,23,Ônibus convencional,Zona Norte,Zona Norte,53,6.94
212,2023-07-12,11:49,Linha 303,96,Elétrico,Zona Sul,Zona Norte,57,5.65
213,2023-10-14,05:21,Linha 303,49,Ônibus convencional,Zona Oeste,Zona Norte,12,4.63
214,2023-05-01,21:44,Linha 101,71,Micro-ônibus,Zona Leste,Zona Oeste,75,4.95
215,2023-01-22,12:48,Linha 505,93,Ônibus convencional,Zona Sul,Zona Leste,24,7.35
216,2023-04-30,09:51,Linha 505,61,Articulado,Centro,Zona Sul,40,6.54
217,2023-02-15,12:37,Linha 505,106,Articulado,Zona Leste,Zona Oeste,82,4.71
218,2023-02-16,19:24,Linha 505,134,Articulado,Zona Oeste,Centro,63,4.05
219,2023-04-08,14:57,Linha 101,12,Micro-ônibus,Zona Oeste,Zona Leste,85,4.8
220,2023-10-28,09:07,Linha 404,86,Ônibus convencional,Centro,Zona Leste,22,3.98
221,2023-08-22,12:09,Linha 404,77,Ônibus convencional,Zona Leste,Zona Oeste,64,4.7
222,2023-04-06,09:26,Linha 202,18,Ônibus convencional,Centro,Zona Norte,40,4.86
223,2023-05-05,14:15,Linha 505,111,Micro-ônibus,Centro,Zona Oeste,40,3.64
224,2023-05-18,19:54,Linha 101,93,Micro-ônibus,Zona Oeste,Zona Norte,39,5.48
225,2023-09-19,18:26,Linha 303,27,Micro-ônibus,Zona Norte,Zona Leste,70,4.23
226,2023-05-30,08:41,Linha 404,105,Elétrico,Centro,Centro,76,4.16
227,2023-09-01,15:28,Linha 505,66,Micro-ônibus,Zona Norte,Zona Leste,13,4.28
228,2023-12-03,13:11,Linha 101,32,Elétrico,Centro,Zona Sul,67,6.57
229,2023-05-19,15:03,Linha 202,25,Micro-ônibus,Zona Leste,Zona Oeste,11,7.29
230,2023-09-26,19:16,Linha 101,140,Articulado,Zona Oeste,Zona Leste,57,4.25
231,2023-07-15,13:20,Linha 303,107,Ônibus convencional,Zona Sul,Zona Sul,75,3.58
232,2023-10-08,18:46,Linha 202,54,Elétrico,Zona Sul,Centro,43,4.55
233,2023-07-10,10:37,Linha 202,135,Articulado,Centro,Zona Leste,32,4.32
234,2023-01-23,20:51,Linha 101,95,Ônibus convencional,Zona Oeste,Zona Norte,49,5.42
235,2023-06-01,07:37,Linha 505,7,Micro-ônibus,Zona Leste,Zona Norte,40,5.23
236,2023-07-24,09:04,Linha 202,126,Micro-ônibus,Centro,Centro,39,7.36
237,2023-06-17,18:29,Linha 303,100,Micro-ônibus,Centro,Zona Sul,27,5.38
238,2023-07-18,10:35,Linha 202,32,Articulado,Zona Sul,Centro,88,4.65
239,2023-09-15,07:03,Linha 101,15,Elétrico,Zona Norte,Zona Norte,57,6.07
240,2023-11-04,22:08,Linha 404,17,Ônibus convencional,Zona Norte,Centro,71,4.17
241,2023-12-19,16:12,Linha 505,53,Micro-ônibus,Zona Sul,Zona Oeste,24,5.82
242,2023-07-01,05:36,Linha 404,51,Elétrico,Zona Oeste,Zona Leste,46,4.49
243,2023-06-15,08:54,Linha 303,55,Elétrico,Centro,Zona Leste,34,6.02
244,2023-08-06,12:12,Linha 202,85,Articulado,Centro,Centro,31,7.16
245,2023-10-14,09:13,Linha 202,75,Elétrico,Zona Norte,Centro,35,6.88
246,2023-07-05,09:45,Linha 202,10,Articulado,Zona Leste,Zona Sul,52,4.49
247,2023-06-21,21:36,Linha 404,15,Ônibus convencional,Zona Sul,Zona Norte,53,3.78
248,2023-08-05,18:46,Linha 303,8,Micro-ônibus,Centro,Zona Norte,36,5.33
249,2023-09-18,22:46,Linha 505,148,Micro-ônibus,Zona Norte,Zona Sul,25,4.95
